hervID,avg_tumor,avg_normal,logFC,pvalue,threshold
herv_3076,0.0306868472477754,0.00260831195505618,3.55643209975827,1.02451160617506e-177,None
herv_5382,0.0243153332962524,0.00206933213124345,3.55462924324295,1.66863290950837e-52,None
herv_3428,0.301646909794186,0.0257923564569288,3.5478453101856,1.78979696741384e-239,None
herv_3122,0.0696250226250912,0.00596044855168539,3.54611308181756,1.61674216385672e-146,None
herv_4220,0.0562135838511031,0.00481461239700375,3.545427232783,2.93007306205052e-142,None
herv_3903,0.12415102543166,0.0106867422546816,3.53820214338166,1.19094721265922e-181,None
herv_2628,0.0319117618067275,0.00274860251310861,3.53731806723537,1.28620662953345e-105,None
herv_2917,0.156166168949212,0.0134842078127341,3.53373927724895,7.14622798930271e-91,None
herv_1647,0.196934685224069,0.0170507710430712,3.52980834391784,0,None
herv_4605,0.305237100599519,0.0264594310449438,3.52807638292226,0,None
herv_2074,0.034793555129215,0.00302498721161049,3.52381914950975,1.06401003882634e-93,None
herv_2076,0.0241738907993767,0.00210276819101124,3.52308797288633,5.50784076924331e-58,None
herv_546,0.284927951441207,0.0248226188782772,3.52086991875029,8.50845195935874e-293,None
herv_2063,0.03009339259322,0.00263631816853933,3.51285035869606,7.54296980636514e-89,None
herv_505,0.0766686924839019,0.0067376034494382,3.50833015183125,1.76453670317917e-101,None
herv_2937,0.0934423664781182,0.00822560873970037,3.50588245653112,6.03208019225304e-51,None
herv_3580,0.0216480541589476,0.0019072888670412,3.50464208612138,8.91533776636976e-141,None
herv_3066,0.101658751977968,0.00899353001685393,3.49870312067914,2.99055177761269e-146,None
herv_4433,0.042513783188508,0.00376950826153558,3.49548240731076,9.9475333901262e-116,None
herv_2869,0.0386201790663923,0.00342606347003745,3.49473106986744,1.30630931906212e-125,None
herv_2732,0.00289983144422943,0.000258829009363296,3.48589781680703,1.51655830194675e-21,None
herv_4153,0.121031400829347,0.0108176614588015,3.4839208351908,4.42226741282581e-255,None
herv_4505,0.00719333726347306,0.000643259365168539,3.48318878589902,2.00284491228663e-109,None
herv_3812,0.0965374638698505,0.00864264834007491,3.48154356048239,7.72906939707807e-89,None
herv_737,0.0352958229403706,0.00317442093071161,3.47493211038953,9.78848597295656e-54,None
herv_1899,0.00653199691938459,0.000588251838951311,3.47301827987653,8.23750550947699e-32,None
herv_4567,0.0516769516746793,0.00466020643720225,3.47105520097889,1.45341116957629e-110,None
herv_2614,0.00992783937429418,0.000897879966292135,3.46688527855044,1.77654769932746e-32,None
herv_962,0.223780213509236,0.0202621224906367,3.46522526801734,2.23091759625841e-84,None
herv_3999,0.0149475642954278,0.00135927545692884,3.45900066377935,8.4350632588741e-95,None
herv_2876,0.0165651529738265,0.00150833042883895,3.45712710781679,4.57741060572229e-52,None
herv_4150,0.0280446150092587,0.00256740912679775,3.44933865962725,1.76016189066761e-65,None
herv_769,0.119399546205955,0.0109867123582397,3.44196570664682,1.76355506513663e-101,None
